非洲	Afrique
Mùng-thi̍t-nui-kô-lò	Monténégro
Sṳn Mâ-li-nok	Saint-Marin
Kú-pâ	Cuba
Eiffel Thiet-thap	Tour Eiffel
Yin-thu-nì-sî-â	Indonésie
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Pi-tô-fûn	Ludwig van Beethoven
Thú-ngí-khì-ngî	Turc
Nàm-fî	Afrique du Sud
Vû-tsṳ̂-phe̍t-khiet-sṳ̂-thán	Ouzbékistan
Pô-tsṳ-nàm	Poznań
Fà-sâ	Varsovie
Súi	Eau
Thien-sṳ	Télévision
Chṳ-li	Chili
Yâ-sû	Jésus-Christ
Súi-sên	Mercure (planète)
Li̍t-sṳ́	Histoire
Phìn-kó Kûng-sṳ̂	Apple
Kîm-sên	Vénus (planète)
Ngî-ngièn	Langage
Muk-sên	Jupiter (planète)
Thiên-vòng-sên	Uranus (planète)
Pu-lie̍t-thap-nì	Bretagne
Hói-vòng-sên	Neptune (planète)
Thiên-vùn-ho̍k	Astronomie
Sîn-kâ-po	Singapour
Khô-ho̍k	Science
Montréal	Montréal
Lie̍t-kî-tûn-sṳ-tên	Liechtenstein
Kiam-khiâu	Cambridge
Thi-ngi-chhṳ Sṳ-kie Thai-chan	Seconde Guerre mondiale
Cologne	Cologne
Kak-tên-nì-â	Gdynia
Sṳ̍p-chhiet-chhiâng	Szczecin
Sṳ-ho̍k	Mathématiques
Lâ-tên-ngî	Latin
Pâ-lìm	Bahreïn
Â-mî-nì-â	Arménie
Set-ngì-vì-â	Serbie
Ngie̍t-khiù	Lune
Àu-thai-li-â	Australie
Vu̍t-lî-ho̍k	Physique
Â-kîn-thìn	Argentine
Pi-lû	Pérou
Sâng-vu̍t-ho̍k	Biologie
Tsêu-siên Mìn-tsú Tsú-ngi Ngìn-mìn Khiung-fò-koet	Corée du Nord
Kán-pu-chhài	Cambodge
Khiúng-liùng	Dinosaure
Yî-sṳ̂-làn-kau	Islam
Lech Wałęsa	Lech Wałęsa
Lin-é	Roue
Lyon	Lyon
Êu-chû Lièn-mèn	Union européenne
Rhône-Alpes	Rhône-Alpes
Chhiòn-khiù Chṳ̂-sín Mióng	World Wide Web
Ńg-ngìn	Femme
Khiûng-tsiâu	Banane
Fâ	Fleur
Mâ-lî-â-na̍p-hói	Fosse des Mariannes
Chû-mu̍k-lòng-mâ-fûng	Everest
Sàng-sṳ	Ville
Nâ-pho-lùn yit-sṳ	Napoléon Ier
Ngit-tèu	Soleil
Pâ-sṳ-tet	Louis Pasteur
大洋洲	Océanie
Thai-yòng Hì	Système solaire
Pô-lò-tit-hói	Mer Baltique
Ngâ-chhṳ	Dent
Khîn	Hydrogène
Hoi (氦)	Hélium
Angela Merkel	Angela Merkel
Lî	Lithium
Phì	Béryllium
Si	Livre (document)
Ngit	Jour
Ngièn	Année (calendrier)
Sṳ-ki	Siècle
Lò-tsṳ (Pô-làn)	Łódź
Khà-thok-vì-chṳ	Katowice
Ngie̍t-sû-fû	Rzeszów
Phìn	Bore
Thàn	Carbone
Tham	Azote
Yòng	Oxygène
Hàng-sên	Planète
Yîm-ngo̍k	Musique
Rennes	Rennes
Mo̍k-sṳ̂-khô	Moscou
Fuk	Fluor
Yi-thai-li-ngî	Italien
Nái	Néon
Sṳn Pí-tet-páu	Saint-Pétersbourg
Na̍p	Sodium
北	Nord
Mî	Magnésium
Lî (鋁)	Aluminium
Néu Sî-làn	Nouvelle-Zélande
南	Sud
Yin-thu	Inde
Si̍t	Silicium
Fap	Francium
Lìn	Phosphore
Thiet	Fer
Tûng-kâ	Tonga
西	Ouest
Liù-vòng	Soufre
東	Est
Liu̍k	Chlore
Pâ-pu-â Néu-kí-nui-â	Papouasie-Nouvelle-Guinée
Vî-lièn Sâ-sṳ-pí-â	William Shakespeare
Â (氬)	Argon
Kap	Potassium
Koi	Calcium
Yèn	Plomb
Mùng-kú-koet	Mongolie
Khong (鈧)	Scandium
Thai	Titane
Genghis Khan	Gengis Khan
Fàm	Vanadium
Mien-yîn	Maine (État)
Kok	Chrome
Mâ	Cheval
Thûng-vu̍t	Animal
Sû-li-nàm	Suriname
Màng	Manganèse
Pâ-lâ-kûi	Paraguay
Koi-â-nâ	Guyana
Ngi-su̍t	Art
Lòi	Rhénium
Kô-lùn-pí-â	Colombie
Kû	Cobalt
Vû	Tungstène
Ngiap (鎳)	Nickel
Fu̍t-kau	Bouddhisme
Pô-li-vì-â	Bolivie
Tshṳ̀-nì-tha̍t lâu Tô-pâ-kô	Trinité-et-Tobago
Chhṳ̍t-vu̍t	Plante
Sîn	Zinc
Néu Hàn-pu-ha	New Hampshire
Pí-â-vùi-sṳ̂-thok-khiet	Białystok
Ngà-mâi-kâ	Jamaïque
Mà-sat-chû-set	Massachusetts
Drenthe-sén	Drenthe
Overijssel-sén	Overijssel
Kûa-thi-mâ-là	Guatemala
Gelderland-sén	Gueldre (province)
Pâ-hâ-mâ	Bahamas
Không-nái-tí-khiet-chû	Connecticut
Kiê-é	Gallus gallus domesticus
Ha-vî-yî	Hawaï
Fùng-tû-lâ-sṳ̂	Honduras
Tô-mí-nì-kâ	Dominique (pays)
Tô-mí-nì-kâ Khiung-fò-koet	République dominicaine
Kâ-chû (Thung-vu̍t)	Porc
Hói-thi	Haïti
Sat-ngì-ngá-tô	Salvador
Yî-lóng	Iran
Yî-là-khiet	Irak
Â-lâ-sṳ̂-kâ	Alaska
Kô-sṳ̂-tha̍t Lì-kâ	Costa Rica
Yî-set-lie̍t	Israël
Pâ-nâ-mâ	Panama
Ya̍p-mùn	Yémen
Phiang-thu̍k	Virus
Pô-làn-ngî	Polonais
Yok-tan	Jordanie
Nì-kâ-lâ-kûa	Nicaragua
Fu-lò-lî-tha̍t	Floride
Kit-ngí-kit-sṳ̂-thán	Kirghizistan
Â-li-sông-ná	Arizona
Khô-vî-thi̍t	Koweït
Liàu-koet	Laos
Lì-pâ-nun	Liban
O-le̍t-kông	Oregon
Gi-tuk-gaau zung geh sin	Dieu (christianisme)
Mâ-ngì-thoi-fû	Maldives
Yù-thâ	Utah
Mâ-lòi-sî-â	Malaisie
Mién-thien	Birmanie
Nì-pok	Népal
Â-man	Oman
Pâ-kî-sṳ̂-thán	Pakistan
Khà-tha̍t	Qatar
Mióng-khiù	Tennis
Sâ-vû-thi Â-lâ-pak	Arabie saoudite
Sṳ̂-lî-làn-khà	Sri Lanka
Si-li-â	Syrie
Kâ	Gallium
Thap-kit-khiet-sṳ̂-thán	Tadjikistan
中華民國	Taïwan
YouTube	YouTube
Châ	Germanium
Thai-koet	Thaïlande
Sṳ̂n	Arsenic
Thú-khû-man-sṳ̂-thán	Turkménistan
Abakan	Abakan
Sî	Sélénium
Yî	Iridium
Â-lâ-pak Lièn-ha̍p Thai-kûng-koet	Émirats arabes unis
Tshiù (溴)	Brome
Pha̍k (鉑)	Platine
Ye̍t-nàm	Viêt Nam
Thai-hòn Mìn-koet	Corée du Sud
Khiet	Krypton
Â-fu-hon	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Lù	Rubidium
Kîm	Or
Men-kâ-lâ-koet	Bangladesh
Ufa	Oufa
Ôn-kô-lâ	Angola
Vùn-lòi	Brunei
Kúng	Mercure (chimie)
Fî-li̍t-pîn	Philippines
Thò	Thallium
Ngie-sat-khiet Ngiù-tun	Isaac Newton
Albert Einstein	Albert Einstein
Sṳ̂	Strontium
Yet	Yttrium
Pit	Bismuth
Vòng-set	Jaune
Tsan-pí-â	Zambie
Sîn-pâ-pu-vî	Zimbabwe
北京	Pékin
Tuva Khiung-fò-koet	Touva
Pok-tshṳ-ngá-na̍p	Botswana
Pho (釙)	Polonium
Bayern	Bavière
Baden-Württemberg	Bade-Wurtemberg
Ngo (砈)	Astate
Lòi-sò-thok	Lesotho
Mâ-tha̍t-kâ-sṳ̂-kâ	Madagascar
Mâ-là-vî	Malawi
Stuttgart	Stuttgart
Màu-li-thap-nì-â	Mauritanie
Pô-làn-ngìn	Polonais (peuple)
Mo̍k-sông-pí-khiet	Mozambique
Na̍p-mí-pí-â	Namibie
Nai-khi̍p-li-â	Nigeria
Ko	Zirconium
Nì	Niobium
Yû-li-vû-sṳ̂ Khái-sat	Jules César
Sṳ̂-vî-sṳ-làn	Swaziland
Muk	Molybdène
Thap	Technétium
Hamburg	Hambourg
Thoi-chhia	Métabolisme
Miên-yi̍t Hì-thúng	Système immunitaire
Lièn-ha̍p-koet	Organisation des Nations unies
Sîm-chhong	Cœur
Thèu-nó	Cerveau
Phì-fû	Peau
Ló	Rhodium
Làm-set	Bleu
Pâ	Palladium (chimie)
Ngiùn	Argent
Kak	Cadmium
Yîn	Indium
Siak	Étain
Yu	Uranium
Thi (銻)	Antimoine
Ti	Tellure
Pu	Plutonium
Tièn	Iode
Nai	Neptunium
Set	Césium
Phù	Protactinium
Pi	Baryum
Thú	Thorium
Kap (鉿)	Hafnium
Than (鉭)	Tantale (chimie)
Luì	Radium
Tûng	Radon
Alsace	Alsace
Auvergne	Auvergne
Ôn-tet-là-pâng	Andhra Pradesh
Me̍t-hiet-kîn	Michigan
Burgundy	Bourgogne
Aquitaine	Aquitaine
Schleswig-Holstein	Schleswig-Holstein
Hâ Saxony	Basse-Saxe
Pet Rhine-Westphalia	Rhénanie-du-Nord-Westphalie
Saxony	Saxe (Land)
Yî-li-nò	Illinois
Thuringia	Thuringe
Saxony-Anhalt	Saxe-Anhalt
Pet Tha̍t-khô-thâ	Dakota du Nord
Brandenburg	Brandebourg
Bremen-chû	Brême (Land)
Nàm Tha̍t-khô-thâ	Dakota du Sud
Mùng-thai-nâ	Montana
Fài-ngò-mìn	Wyoming
Yâ-lu-sat-lâng	Jérusalem
Oi-tha̍t-hòt	Idaho
Fà-sṳn-tun	Washington (État)
Lù (鑪)	Rutherfordium
Nui-fà-tha̍t	Nevada
Hàn (𨧀)	Dubnium
Hí (𨭎)	Seaborgium
Yin-thu-yòng	Océan Indien
Khô-sò-vok	Kosovo
Kâ-le̍t-pí-hói	Mer des Caraïbes
Pô (𨨏)	Bohrium
Het (𨭆)	Hassium
Phan Kî-vùn	Ban Ki-moon
Ma̍k (䥑)	Meitnérium
Khô-lò-là-tô	Colorado
Tha̍t	Darmstadtium
Siau-pâng	Frédéric Chopin
Lùn	Roentgenium
Kô (鎶)	Copernicium
分類:Chú-yeu fûn-lui	Catégorie:Accueil
Chi-kâ-kô	Chicago
Arnhem	Arnhem
Tûng-kui	Hiver
Sî-pân-ngà-ngî	Espagnol
Fî-là-thiet-fî	Philadelphie
Tî-tû	Araneae
Hèu-è	Singe
Kîm-tshièn	Monnaie
Vì-kit-nì-â	Virginie (État)
Sî Vì-kit-nì-â	Virginie-Occidentale
Tshiâng-tséu	Capsicum annuum
Néu-yok-chû	État de New York
Sṳ (鈰)	Cérium
Phú	Praséodyme
Lò-tet-tó	Rhode Island
Ńg	Néodyme
Khûn-chhùng	Insecte
Mâ-lî-làn	Maryland
Thi̍t-lâ-ngá	Delaware
Yû (銪)	Europium
Ngò-hài-ngò	Ohio
Vì-kit-ngì	Virgile
Machiavelli	Nicolas Machiavel
Pîn-sé-fap-nì-â	Pennsylvanie
Uetersen	Uetersen
O-kú-sṳ̂-tû	Auguste
Néu Chhe̍t-sî-chû	New Jersey
Fûn-làn-ngî	Finnois
Yin-thi-ôn-na̍p	Indiana
Vì-sṳ̂-pha-siên	Vespasien
Thù-là-chṳ̂n	Trajan
Hâ-tet-liòng	Hadrien
Khièu-tshṳ-â	Géorgie (États-Unis)
Mâ-khù-sṳ̂ O-lie̍t-lî-vû-sṳ̂	Marc Aurèle
Zagreb	Zagreb
Tet-khiet-sat-sṳ̂	Texas
Thai-mí-ngì-na̍p-tet-pâng	Tamil Nadu
Pet Khà-lò-lòi-na̍p	Caroline du Nord
Nàm Khà-lò-lòi-na̍p	Caroline du Sud
Loire-sén	Loire
Pâ-set-lò-nâ	Barcelone
Vòng-lî	Ananas
Me̍t-sî-sî-pí	Mississippi (État)
Thièn-na̍p-sî	Tennessee
Néu Me̍t-sî-kô	Nouveau-Mexique
Mìn-nì-sû-tha̍t	Minnesota
Vî-sṳ̂-không-sîn	Wisconsin
Oi-hò-fà	Iowa
Nui-pu-lâ-sṳ̂-kâ	Nebraska
Khâm-sat-sṳ̂	Kansas
Yin-thi-ngî	Hindi
Me̍t-sû-lî	Missouri (État)
Lu-yi-sṳ̂-ôn-ná	Louisiane
Khén-thap-kî	Kentucky
Â-khén-set	Arkansas
Neil Armstrong	Neil Armstrong
O-khiet-lâ-hò-mâ	Oklahoma
Pet-hói	Mer du Nord
Mo̍k-sṳ̂-khô-chû	Oblast de Moscou
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hanovre
Düsseldorf	Düsseldorf
Mainz	Mayence
Wiesbaden	Wiesbaden
Saarbrücken	Sarrebruck
Mu-nì-het	Munich
Erfurt	Erfurt
Dresden	Dresde
Kaliningrad-chû	Oblast de Kaliningrad
Murmansk-chû	Oblast de Mourmansk
Kak-than-sṳ̂-khiet	Gdańsk
Fap-làn-khiet-fuk	Francfort-sur-le-Main
Fut-lò-tshṳ-ngá-fû	Wrocław
Làn	Lanthane
Ki (鉕)	Prométhium
Sân	Samarium
Â-chhè Thi̍t-phe̍t Hàng-chṳn-khî	Aceh
Nga̍t (釓)	Gadolinium
Thi̍t (鋱)	Terbium
Tit (鏑)	Dysprosium
Sṳn-kîn	Bible
Fó	Holmium
Ngí (鉺)	Erbium
Tiû	Thulium
Yi	Ytterbium
Liu	Lutécium
Hò-nui-sṳ	Hanoï
Chṳ̂n Yâ-sû Kau-fi	Véritable Jésus Église
Yîn-ngî	Anglais
Màn-kuk	Bangkok
Kit-lùng-po	Kuala Lumpur
Pâng-kâ Vú-lî-thung-sén	Îles Bangka Belitung
Thòi-pet-sṳ	Taipei
Mî (鋂)	Américium
Arkhangelsk-chû	Oblast d'Arkhangelsk
Khiu̍k	Curium
Thùng-hói-sṳ	Đồng Hới
Concepción	Concepción (Chili)
Pet (鉳)	Berkélium
Khà (鉲)	Californium
Mìn-kú-lû-sén	Bengkulu (province)
Oi	Einsteinium
Fi	Fermium
Mùn	Mendélévium
Na	Nobélium
Ontario-sén	Ontario
Lò	Lawrencium
Karelia Khiung-fò-koet	République de Carélie
Końskowola	Końskowola
2002-ngièn	2002
2008-ngièn	2008
Charles de Gaulle	Charles de Gaulle
Cham-pî-sén	Jambi (province)
Komi Khiung-fò-koet	République des Komis
Nâm-póng-sén	Lampung
Pet Sû-mùn-tap-lia̍p-sén	Sumatra du Nord
Syktyvkar	Syktyvkar
Québec-sṳ	Québec (ville)
Nenets Chhṳ-chhṳ-khî	Nénétsie
Liàu-nui-sén	Riau
Leningrad-chû	Oblast de Léningrad
Pskov-chû	Oblast de Pskov
Liàu-nui Khiùn-tó-sén	Îles Riau (province)
Nizhny Novgorod-chû	Oblast de Nijni Novgorod
Nàm Sû-mùn-tap-lia̍p-sén	Sumatra du Sud
Lò-mâ Ti-koet	Empire romain
Mì-ngiôn Kûng-sṳ̂	Microsoft
Tver-chû	Oblast de Tver
Khù-lû-fû	Kurów
Fa-ho̍k	Chimie
Smolensk-chû	Oblast de Smolensk
Yaroslavl-chû	Oblast de Iaroslavl
Kostroma-chû	Oblast de Kostroma
Ivanovo-chû	Oblast d'Ivanovo
Arnold Schwarzenegger	Arnold Schwarzenegger
Chiuk-khiù	Football
Ryazan-chû	Oblast de Riazan
IPhone	IPhone
Sî Sû-mùn-tap-lia̍p-sén	Sumatra occidental
Tula-chû	Oblast de Toula
IPad	IPad
Mâ-tet-lî	Madrid
Bryansk-chû	Oblast de Briansk
Michael Jackson	Michael Jackson
Kaluga-chû	Oblast de Kalouga
Loire-Atlantique-sén	Loire-Atlantique
Ain-sén	Ain (département)
Allier-sén	Allier (département)
Khâm-phì-là	Canberra
Sông Alpes-sén	Hautes-Alpes
Oryol-chû	Oblast d'Orel
Sit-nì	Sydney
Alpes-de-Haute-Provence-sén	Alpes-de-Haute-Provence
Liu̍k-set	Vert
Alpes-Maritimes-sén	Alpes-Maritimes
Hâ-tet-sùn-hò	Fleuve Hudson
Me̍t-ngì-pún	Melbourne
Fùng-set	Rouge
Ardèche-sén	Ardèche (département)
Jena	Iéna
Kursk-chû	Oblast de Koursk
Ariège-sén	Ariège (département)
Aude-sén	Aude (département)
Aveyron-sén	Aveyron (département)
Sîn Nàm Vî-ngì-sṳ̂-chû	Nouvelle-Galles du Sud
Bouches-du-Rhône-sén	Bouches-du-Rhône
Àu-thai-li-â Sú-tû Liâng-thi	Territoire de la capitale australienne
Cantal-sén	Cantal (département)
Belgorod-chû	Oblast de Belgorod
Côte-d'Or-sén	Côte-d'Or
Côtes-d'Armor-sén	Côtes-d'Armor
Drôme-sén	Drôme (département)
Finistère-sén	Finistère
Voronezh-chû	Oblast de Voronej
Sû-mùn-tap-lia̍p	Sumatra
Lipetsk-chû	Oblast de Lipetsk
Van-tan-sén	Banten (province)
Chûng Cháu-ôa-sén	Java central
Fùi-sên	Comète
Rostov-chû	Oblast de Rostov
Tûng Cháu-ôa-sén	Java oriental
Ngâ-kâ-tha̍t Sú-tû Thi̍t-khî	Jakarta
Sî Cháu-ôa-sén	Java occidental
Adygea Khiung-fò-koet	Adyguée
Ngit-ngiâ Thi-fông Thi̍t-khî	Territoire spécial de Yogyakarta
Gera	Gera
Maykop	Maïkop
Cháu-ôa-tó	Java (île)
Kâ-lî-man-tân-chû	Kalimantan
Séu Sùn-thâ Khiùn-tó	Petites îles de la Sonde
Sû-lâ-vî-sî-tó	Célèbes
Mô-lu̍k-kâ Khiùn-tó	Moluques
Chûng Kâ-lî-man-tân-sén	Kalimantan central
Tûng Kâ-lî-man-tân-sén	Kalimantan oriental
Nàm Kâ-lî-man-tân-sén	Kalimantan du Sud
Kâ-li-sî-â	Galice
Sî Kâ-lî-man-tân-sén	Kalimantan occidental
Thai-ho̍k	Université
Pretoria	Pretoria
Chok-khiù	Tennis de table
Â-sṳ̂-thù-lî-â-sṳ̂	Asturies
Wikipedia:Sandbox	Wikipédia:Bac à sable
Astrakhan-chû	Oblast d'Astrakhan
Kham-thap-pu-lî-â	Cantabrie
Kalmykia Khiung-fò-koet	Kalmoukie
Weimar	Weimar
Osasco	Osasco (Brésil)
Â-là-kung	Aragon (communauté autonome)
Kak-là-sṳ̂-kô	Glasgow
Thùng-hói Kî-chhòng	Aéroport de Đồng Hới
Vú-lîn-ngièn Fûng-kín Miàng-sṳn-khî	Wulingyuan
分類:Thòi-vân li̍t-sṳ́	Catégorie:Histoire de Taïwan
Curitiba	Curitiba
Chloë Grace Moretz	Chloë Moretz
Khûng-chṳ́	Confucius
Corbin Bleu	Corbin Bleu
分類:Sṳ-ho̍k	Catégorie:Mathématiques
分類:Ngìn-kûng ngî-ngièn	Catégorie:Langue construite
Pâ-lî-sén	Bali
Mî-kîm	Dollar américain
Thi-chûng-hói	Mer Méditerranée
Hông-chû-sṳ	Hangzhou
Kî-tuk-kau	Christianisme
Tûng Nú-sâ Tên-kâ-là-sén	Nusa Tenggara oriental
Sî Nú-sâ Tên-kâ-là-sén	Nusa Tenggara occidental
Chûng Sû-lâ-vî-sî-sén	Sulawesi central
Kô-lùn-tá-lo̍k-sén	Gorontalo
Pet Sû-lâ-vî-sî-sén	Sulawesi du Nord
Tûng-nàm Sû-lâ-vî-sî-sén	Sulawesi du Sud-Est
Nàm Sû-lâ-vî-sî-sén	Sulawesi du Sud
Sî Sû-lâ-vî-sî-sén	Sulawesi occidental
Vò-é	Riz
Mâ-lû-kú-sén	Moluques (province)
Pet Mâ-lû-kú-sén	Moluques du Nord
Pâ-pu-â-sén	Papouasie (province indonésienne)
Sî Pâ-pu-â-sén	Papouasie occidentale
Dagestan Khiung-fò-koet	Daguestan
Sú-tû	Capitale
Monzón	Monzón
Phù-thò-ngà-ngî	Portugais
Ngie̍t	Mois
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Makhachkala	Makhatchkala
Chechnya Khiung-fò-koet	Tchétchénie
Grozny	Grozny
Almazán	Almazán
Vòng Hien-fàm	Huang Xianfan
Ingushetia Khiung-fò-koet	Ingouchie
Magas	Magas
Pet Ossetia–Alania Khiung-fò-koet	Ossétie-du-Nord-Alanie
Kabardino-Balkaria Khiung-fò-koet	Kabardino-Balkarie
Tson-sa̍k	Diamant
Bill Gates	Bill Gates
Ngi̍t-ngî	Japonais
Pak-khô-chhiòn-sû	Encyclopédie
頭頁	Wikipédia:Accueil principal
Karachay-Cherkessia Khiung-fò-koet	Karatchaïévo-Tcherkessie
Saratov	Saratov
Saratov-chû	Oblast de Saratov
Orenburg-chû	Oblast d'Orenbourg
Mordovia Khiung-fò-koet	Mordovie
Saransk	Saransk
Yâ-khiù	Baseball
Làm-khiù	Basket-ball
Kirov-chû	Oblast de Kirov
Udmurtia Khiung-fò-koet	Oudmourtie
Sî-pak-li-â	Sibérie
Mari El Khiung-fò-koet	République des Maris
Yoshkar-Ola	Iochkar-Ola
Stellenbosch	Stellenbosch
Sverdlovsk-chû	Oblast de Sverdlovsk
Cape Town	Le Cap
Chuvash Khiung-fò-koet	Tchouvachie
Durban	Durban
Cheboksary	Tcheboksary
Tat-tat-sṳ̂-thán Khiung-fò-koet	Tatarstan
Penza-chû	Oblast de Penza
Là-fî-ngì	Raphaël (peintre)
Pí-tet Lû-pún-sṳ̂	Pierre Paul Rubens
Ulyanovsk-chû	Oblast d'Oulianovsk
Gung-gung-hi-tsaa	Autobus
Kâ-thai-lò-nì-â	Catalogne
Bashkortostan Khiung-fò-koet	Bachkirie
Chelyabinsk-chû	Oblast de Tcheliabinsk
Pâ-lùn-sî-â Chhṳ-chhṳ-khî	Communauté valencienne
Khà-sṳ̂-tì-li-â lâu Lòi-ngong	Castille-et-León
Kurgan-chû	Oblast de Kourgan
Mô Chhe̍t-tûng	Mao Zedong
Tyumen-chû	Oblast de Tioumen
Omsk-chû	Oblast d'Omsk
Thai-mí-ngì-ngî	Tamoul
Chet-ho̍k	Philosophie
分類:Candidates for speedy deletion	Catégorie:Wikipédia:Suppression immédiate demandée
Altai Khiung-fò-koet	République de l'Altaï
Kòng-khìm	Piano
Gorno-Altaysk	Gorno-Altaïsk
Kemerovo-chû	Oblast de Kemerovo
Hebe Camargo	Hebe Camargo
Chṳ̂-pún chú-ngi	Capitalisme
Koet-kâ	Pays
Mìn-chhu̍k	Nation
Khanty-Mansi Chhṳ-chhṳ-khî	Khantys-Mansis
Yamalo-Nenets Chhṳ-chhṳ-khî	Iamalie
Montpellier	Montpellier
分類:Thiên-vùn-ho̍k	Catégorie:Astronomie
Khakassia Khiung-fò-koet	Khakassie
Irkutsk-chû	Oblast d'Irkoutsk
Sakha Khiung-fò-koet	République de Sakha
Khiet-lò-âi-sî-â-ngî	Croate
Hon-pó	Hamburger
Buryatia Khiung-fò-koet	Bouriatie
Vû-làn Vû-tet	Oulan-Oude
Amur-chû	Oblast d'Amour
Ngi-sṳ̍p Sṳ-ki	XXe siècle
Gotha	Gotha (Allemagne)
Dijon	Dijon
Kâ-thai-lò-nì-â-ngî	Catalan
Nordhausen	Nordhausen
Kit-lò-na̍p-sén	Gérone
Eisenach	Eisenach
Se-pâu Sâng-vu̍t-ho̍k	Biologie cellulaire
Sṳ-kie Ngiùn-hòng Si̍p-thòn	Banque mondiale
A-la-pak Liên-mên	Ligue arabe
Mìn-tsú Tsú-ngi	Démocratie
Chhîn-chhèu (秦朝)	Dynastie Qin
Pet Thai-sî-yòng Kûng-yok Chû-chṳt	Organisation du traité de l'Atlantique Nord
Chhìn Sṳ Fòng	Qin Shi Huang
Hon-chhèu	Dynastie Han
Hon Vú-ti Liù Chha̍t	Han Wudi
Sâng-vu̍t	Organisme (physiologie)
Kiûn-chú-chṳ	Monarchie
Khiung-fò-koet	République
Yí-mô-khiù	Badminton
Ngièn-chhèu	Dynastie Yuan
Nazi Tet-koet	Troisième Reich
Yù-thai-ngìn	Juifs
Chang Fò	Zheng He
Chìn-chhèu	Dynastie Jin (265-420)
Ngí	Oreille
Phi	Nez
Ngién	Œil
Mûn-é	Culicidae
Mièn-yòng	Mouton
Lo̍k-thò	Camelus
Phú-nen thung-vu̍t	Mammifère
Siong	Éléphant
Ngie-kûng	Fourmi
Phûng-é	Abeille
