非洲	Afrique
日本	Japon
南美洲	Amérique du Sud
Nò-vî	Norvège
Sû-kak-làn	Écosse
Vî-ngì-sṳ̂	Pays de Galles
Pet Oi-ngì-làn	Irlande du Nord
Hiûng-ngà-li	Hongrie
Sî-pân-ngà	Espagne
Mî-koet	États-Unis
Pí-li-sṳ̀	Belgique
Lù-sêm-pó	Luxembourg (pays)
Yî-chhiu	Univers
Thi-khiù	Terre
Sâng-miang	Vie
Ngìn-lui	Homo sapiens
George Washington	George Washington
Fûn-làn	Finlande
Shuì-tién	Suède
Tan-ma̍k	Danemark
Pô-làn	Pologne
Li̍p-thâu-vón	Lituanie
Yi-thai-li	Italie
Shuì-sṳ	Suisse
O-thi-li	Autriche
Hî-lia̍p	Grèce
Thú-ngí-khì	Turquie
Phù-thò-ngà	Portugal
歐洲	Europe
亞洲	Asie
北美洲	Amérique du Nord
南極洲	Antarctique
Vì-kî Pak-khô	Wikipédia
Hò-làn	Pays-Bas
Néu-yok-sṳ	New York
Fà-sṳ̀n-tun Kô-lùn-pí-â Thi̍t-khî	Washington (district de Columbia)
Khiu-kîm-sân	San Francisco
Pak-lìm	Berlin
Lo̍k-chhám-kî	Los Angeles
Thien-nó	Ordinateur
Mióng-chi-mióng-lu	Internet
Barack Obama	Barack Obama
Vû-lâ-kûi	Uruguay
Lùn-tûn	Londres
Phìn-kó	Pomme
Pâ-lì-sṳ	Paris
Â-pak-lâ-hón Lìm-khén	Abraham Lincoln
Google	Google
Me̍t-sî-kô	Mexique
Thai-sî-yòng	Océan Atlantique
Thai-phìn-yòng	Océan Pacifique
Kâ-li-fuk-nì-â	Californie
Pô-sṳ-tun	Boston
Fó-sên	Mars (planète)
Âi-set-ngò-pí-â	Éthiopie
Sṳ̂-é	Lion
Fap-koet	France
Sṳ-kie-ngî	Espéranto
Kiéu-è	Chien
Yîn-koet	Royaume-Uni
Meu-é	Chat
中華人民共和國	Chine
Fap-ngî	Français
Ǹg-è	Poisson
Pâ-sî	Brésil
François Hollande	François Hollande
Ngò-lò-sṳ̂	Russie
Kîn-ǹg	Cetacea
Chang-fông-hìn	Carré
Mong-kó	Mangue
Tô-lùn-tô	Toronto
Â-lâ-pâ-mâ	Alabama
Québec-sén	Québec
Boeing 747	Boeing 747
Jimmy Wales	Jimmy Wales
Tet-koet	Allemagne
Pha̍k-ngò-lò-sṳ̂	Biélorussie
Tet-ngî	Allemand
Pên-tó	Islande
Song-ti	Dieu
Oi-sâ-nì-â	Estonie
David Cameron	David Cameron
Thú-sên	Saturne (planète)
Ku-thin-yi̍t Fî-kî	Avion
1	1 (nombre)
2	2 (nombre)
3	3 (nombre)
4	4 (nombre)
5	5 (nombre)
George W. Bush	George W. Bush
Lâ-thot-vì-â	Lettonie
Vû-khiet-làn	Ukraine
Tshia̍p-khiet	République tchèque
Sṳ̂-lo̍k-vì-nì-â	Slovénie
Lò-mâ-nì-â	Roumanie
Pó-kâ-li-â	Bulgarie
Lò-mâ	Rome
Mâ-khì-tun	Macédoine (pays)
Â-ngì-pâ-nì-â	Albanie
Khiet-lò-âi-sî-â	Croatie
Pô-sṳ-nì-â lâu Het-set-kô-vì-ná	Bosnie-Herzégovine
Â-set-pai-kiông	Azerbaïdjan
Set-phû-lu-sṳ̂	Chypre (pays)
Kak-lû-kit-â	Géorgie (pays)
Hâ-sat-khiet-sṳ̂-thán	Kazakhstan
Mí-li-thai	Malte
Mô-na̍p-kô	Monaco
