ᐊᑉᕆᖄ	Afrique
ᓃᑉᐊᓐ	Japon
ᐊᒥᐊᓕᑲ ᓂᒋᖅ	Amérique du Sud
ᓄᕐᒋ/nurgi	Norvège
ᓯᐸᐃᓐ	Espagne
ᐊᒥᐊᓕᑲ	États-Unis
ᓄᓇ	Terre
ᐄᒃ	Homo sapiens
ᔫᕐᒋ ᕚᓯᖕᑐᓐ	George Washington
ᔅᕗᕆᑭ	Suède
ᐳᓚᓐᑦ	Pologne
ᓕᐋᑐᕙ	Lituanie
Italy	Italie
ᐃᐆᕌᑉ	Europe
ᐊᓰᐊ	Asie
ᐊᒥᐊᕆᑲ ᑐᓄᕕᐊᖅ	Amérique du Nord
ᐅᐃᑭᐱᑎᐊ	Wikipédia
ᐅᓱᒃ	Pénis
ᐱᕐᓖᓐ	Berlin
ᖃᕋᓴᐅᔭᖅ	Ordinateur
ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ	Internet
ᐸᕌᒃ ᐅᐹᒪ	Barack Obama
ᑭᒻᒥᓇᐅᔭᖅ	Pomme
ᒎᒐᓪ	Google
ᒦᒃᓰᖂ	Mexique
ᑳᓖᐴᕐᓃᐊ	Californie
ᒧᓇᑖᒃ	Lundi
ᔭᓐᓄᐊᓕ	Janvier
ᕕᐳᐊᕆ	Février
ᓇᑦᓯᐊᓕᐅᑦ	Mars (mois)
ᐊᐃᐳᕆᓪ	Avril
ᒪᐃ	Mai
ᔪᓂ	Juin
ᔪᓚᐃ	Juillet
ᐊᐅᒍᔅ	Août
ᓯᑎᒻᐳᕆ	Septembre
ᐅᒃᑐᐳᕆ	Octobre
ᓄᕕᒻᐳᕆ	Novembre
ᑎᓯᒻᐳᕆ	Décembre
ᐃᓯᐱᕋᓐᑐ	Espéranto
ᕿᖕᒥᖅ	Chien
China	Chine
ᐅᐃᒍᐃᕐᒥᐅᖅ	Français
ᐃᖃᓗᒃ	Poisson
ᐊᖓᔮᕐᓇᖅᑐᖅ	Boisson alcoolisée
ᐅᓛᓴ	Russie
ᐊᕐᕕᒃ	Cetacea
ᐅᐃᑭ	Wiki
ᐋᓛᐹᒫ	Alabama
ᑯᐸᐃᒃ	Québec
ᔨᒥ ᐆᐃᓪᔅ	Jimmy Wales
ᔮᒪᓂ	Allemagne
ᑎᖕᒥᓲᖅ	Avion
ᐊᑭᕋᖅᑑᑎᔪᑦ	Guerre
ᔅᑏᕕᓐ ᐦᐊᕐᐱᕐ	Stephen Harper
ᕕᓪᓂᐅᔅ/vilnius	Vilnius
ᐊᑯᑭᑦᑐᑦ	Groenland
ᖂᐹ/quupaa	Cuba
ᐄᓅᓯᐊ	Indonésie
ᓯᓕ	Chili
ᐱᐅᓕᑦᓯᔨ	Jésus-Christ
ᒥᕐᑰᕆ	Mercure (planète)
