ʻApelika	Afrique
Makekepuka	Magdebourg
Reykjavík	Reykjavik
Paipala	Bible
Thulium	Thulium
Ka Ho‘omana Iesū ‘Oia‘i‘o	Véritable Jésus Église
‘Ōlelo Pelekania	Anglais
Đồng Hới	Đồng Hới
Concepción, Chile	Concepción (Chili)
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2009	2009
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
Lipekika	Leipzig
1998	1998
1999	1999
Kurów	Kurów
Kemika	Chimie
Makelika	Madrid
Lima	Lima
Santiago de Chile	Santiago
Quito	Quito
Ankara	Ankara
Riyadh	Riyad
Kamakeko	Damas
Amman	Amman
Muscat	Mascate
Wikipedia:Sandbox	Wikipédia:Bac à sable
Wehimala	Weimar
Osasco	Osasco (Brésil)
Dong Hoi Airport	Aéroport de Đồng Hới
Curitiba	Curitiba
Zichyújfalu	Zichyújfalu
Sarah Bernhardt	Sarah Bernhardt
Mauna Kana Helena	Mont Saint Helens
Mokuhonua	Continent
Kapikala	Capitale
Monzón	Monzón
Almazán	Almazán
Puke noi‘i kū‘ikena	Encyclopédie
Ka papa kinohi	Wikipédia:Accueil principal
Vincent van Gogh	Vincent van Gogh
Frida Kahlo	Frida Kahlo
Michelangelo	Michel-Ange
Pablo Picasso	Pablo Picasso
Raffael Santi	Raphaël (peintre)
Rembrandt	Rembrandt
Frank Lloyd Wright	Frank Lloyd Wright
Matsuo Bashō	Matsuo Bashō
Castille a Leon	Castille-et-León
Meka	La Mecque
Gabriel García Márquez	Gabriel García Márquez
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Māhele:Candidates for speedy deletion	Catégorie:Wikipédia:Suppression immédiate demandée
Kaumokuʻāina	Pays
Homer	Homère
Hōʻole Akua	Athéisme
Kālaikaiaola	Écologie
Kālaiʻāina	Politique
Aupuni	Gouvernement
Qin Shi Huang	Qin Shi Huang
Tolstoi	Léon Tolstoï
Moku‘āina	État
ʻŌlelo Lūkini	Russe
‘Ōlelo Pākē	Langues chinoises
Nelson Mandela	Nelson Mandela
Makani Pāhili	Cyclone tropical
Moʻokalaleo	Littérature
Māhele:Palani	Catégorie:France
Oboe	Hautbois
ʻOlumepika Kauwela ma 2008	Jeux olympiques d'été de 2008
Granada	Grenade (Espagne)
ʻĀtoma	Atome
Lāpaki	Lapin
Mohameka	Mahomet
Burgos	Burgos
Ronald Reagan	Ronald Reagan
‘Ōlelo Zaza	Zazaki
Māhele:Palakila	Catégorie:Brésil
Kumumea kemikala	Élément chimique
‘Ohe kani	Flûte
ʻAlea	Aire (géométrie)
Hulahula	Danse
Papa o nā ʻāina	Liste des pays du monde
Miranda de Ebro (Burgos)	Miranda de Ebro
Kuli	Surdité
Ponferrada	Ponferrada
Santander	Santander (Espagne)
Helu piha	Entier relatif
Malgrat de Mar	Malgrat de Mar
‘Ōlelo ‘Alapia	Arabe
Tiranosauru	Tyrannosaurus
Terikeratopa	Triceratops
Setegasauru	Stegosaurus
Barakiosauru	Brachiosaurus
Welokirapetoa	Velociraptor
Hae	Drapeau
‘Ulu	Arbre à pain
Aupuni kiwikā	Commune
Salamanca	Salamanque
Zamora (España)	Zamora
León (España)	León (Espagne)
Welemoneka	Vermont
Houston, Kekeka	Houston
Pēniki	Phoenix (Arizona)
Kakalameko	Sacramento
Honolulu, Hawaiʻi	Honolulu
Kauoha Hou	Nouveau Testament
Rafael Correa	Rafael Correa
Louvre	Musée du Louvre
‘Ao‘ao Kū‘oko‘a Pokoliko	Parti indépendantiste portoricain
Kalikimaka	Noël
Mo‘ai	Moaï
Hoʻolele hualono	Podcasting
Friedrich Schiller	Friedrich von Schiller
Jean Auguste Dominique Ingres	Jean-Auguste-Dominique Ingres
Pule	Semaine
Cervidae	Cervidae
Pule Alaka‘i A Ka Haku	Notre Père
Musée d'Orsay	Musée d'Orsay
Mokupuni	Île
Moshchena	Mochtchena
ʻōhiʻa lomi	Tomate
Paltoga	Paltoga
Panalā‘au o Quảng Binh	Province de Quảng Bình
Bryan Cranston	Bryan Cranston
Felidae	Felidae
Pichilemu	Pichilemu
Canidae	Canidae
Karlstad	Karlstad
Mölnlycke	Mölnlycke
Bovidae	Bovidae
Phocidae	Phocidae
ʻAnekelopa	Antilope
‘Amelika	Amerika (homonymie)
Cabañas Raras	Cabañas Raras
Ardón (León)	Ardón
Algadefe	Algadefe
Acebedo	Acebedo (León)
Los Barrios de Luna	Los Barrios de Luna
Fresno de la Vega	Fresno de la Vega
La Antigua (Sepania)	La Antigua
Almanza	Almanza (León)
El Burgo Ranero	El Burgo Ranero
Boca de Huérgano	Boca de Huérgano
Bustillo del Páramo	Bustillo del Páramo
Boñar	Boñar
Alija del Infantado	Alija del Infantado
Brazuelo	Brazuelo
Berlanga del Bierzo	Berlanga del Bierzo
Cabreros del Río	Cabreros del Río
Bercianos del Real Camino	Bercianos del Real Camino
Burón (León)	Burón
Bercianos del Páramo	Bercianos del Páramo
Otariidae	Otariidae
Pinnipedia	Pinnipède
Zhengzhou	Zhengzhou
Mīkini helu	Calculatrice
Halakepoka	Hartford (Connecticut)
‘Ōlelo Hawai‘i	Hawaïen
Pea kina	Panda géant
Pae moku	Archipel
Valparaíso	Valparaiso
‘Ōlelo Sāmoa	Samoan
Marlon Brando	Marlon Brando
‘Ōlelo Kahiki	Tahitien
Wailele ‘o Niakala	Chutes du Niagara
Mošovce	Mošovce
Kauō	Laysan
ʻAperodite	Aphrodite
Nā mokuʻāina o ʻAmelika Hui	États des États-Unis
Pauka niho	Dentifrice
Mineapoli	Minneapolis
Apia	Apia
Brigitte Bardot	Brigitte Bardot
Arancón	Arancón
'ōlelo toki pona	Toki pona
Paul Gauguin	Paul Gauguin
Teide	Teide
Kālaiʻelala	Entomologie
Ágreda	Ágreda
ʻAnekilosauru	Ankylosaurus
Waleluka	Morse (animal)
Johannes Vermeer	Johannes Vermeer
Teletubbies	Les Télétubbies
Kahiki	Tahiti
Israel Kamakawiwoʻole	Israel Kamakawiwoʻole
Johnny Cash	Johnny Cash
Nanahana	Ginkgo biloba
Hesioda	Hésiode
Cubillos del Sil	Cubillos del Sil
Igüeña	Igüeña
Noceda del Bierzo	Noceda del Bierzo
Castropodame	Castropodame
Páramo del Sil	Páramo del Sil
Molinaseca	Molinaseca
Congosto	Congosto
Toreno	Toreno
Folgoso de la Ribera	Folgoso de la Ribera
Sancedo	Sancedo
Josepa Samika	Joseph Smith
Pihemanu	Îles Midway
Paris Hilton	Paris Hilton
Palapola	Parabole
Helu kumu	Nombre premier
Söréd	Söréd
Palencia	Province de Palencia
Reyero	Reyero
La Ercina	La Ercina
La Robla	La Robla
Santa Colomba de Curueño	Santa Colomba de Curueño
Santa María del Monte de Cea	Santa María del Monte de Cea
San Cristóbal de la Polantera	San Cristóbal de la Polantera
ʻUkulele	Ukulélé
Santa María del Páramo	Santa María del Páramo
Santa Elena de Jamuz	Santa Elena de Jamuz
San Justo de la Vega	San Justo de la Vega
Hawai‘i (mokupuni)	Hawaï (île)
Georg Philipp Telemann	Georg Philipp Telemann
ʻUlano	Ouranos
Coronel Fabriciano	Coronel Fabriciano
Quintana y Congosto	Quintana y Congosto
Matallana de Torío	Matallana de Torío
Pamela Anderson	Pamela Anderson
Gema	Gemme
Nā panalā‘au o Burgos	Liste des communes de la province de Burgos
Puahōlani	Tulipe
Nā panalā‘au o León	Liste des communes de la province de León
Nikolai Rimsky-Korsakov	Nikolaï Rimski-Korsakov
Nā panalā‘au o Salamanca	Liste des communes de la province de Salamanque
Nā panalā‘au o Soria	Liste des communes de la province de Soria
Nā panalā‘au o Tarragona	Liste des communes de la province de Tarragone
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O'Toole
Nā panalā‘au o Zamora	Liste des communes de la province de Zamora
Lili‘uokalani	Liliuokalani
Joey King	Joey King
X-Men	X-Men
Nika	Nyx
Mauna Kea	Mauna Kea
O‘ahu	Oahu
Lucillo	Lucillo
Cimanes de la Vega	Cimanes de la Vega
Cebrones del Río	Cebrones del Río
Quintana del Marco	Quintana del Marco
San Millán de los Caballeros	San Millán de los Caballeros
Cubillas de Rueda	Cubillas de Rueda
Cea (León)	Cea (León)
Garrafe de Torío	Garrafe de Torío
Santa María de Ordás	Santa María de Ordás
Cuadros	Cuadros
Llamas de la Ribera	Llamas de la Ribera
Riello	Riello
Palacios de la Valduerna	Palacios de la Valduerna
Castrocalbón	Castrocalbón
Carrocera	Carrocera
Murias de Paredes	Murias de Paredes
Rioseco de Tapia	Rioseco de Tapia
Santa Cristina de Valmadrigal	Santa Cristina de Valmadrigal
Grajal de Campos	Grajal de Campos
Santa María de la Isla	Santa María de la Isla
Campo de Villavidel	Campo de Villavidel
Crémenes	Crémenes
Cimanes del Tejar	Cimanes del Tejar
Castilfalé	Castilfalé
Quintana del Castillo	Quintana del Castillo
Campazas	Campazas
Pajares de los Oteros	Pajares de los Oteros
San Pedro Bercianos	San Pedro Bercianos
Santa Marina del Rey	Santa Marina del Rey
Cebanico	Cebanico
Gordaliza del Pino	Gordaliza del Pino
Castrillo de la Valduerna	Castrillo de la Valduerna
Pozuelo del Páramo	Pozuelo del Páramo
Prado de la Guzpeña	Prado de la Guzpeña
Matanza (León)	Matanza (León)
Santa Colomba de Somoza	Santa Colomba de Somoza
Cubillas de los Oteros	Cubillas de los Oteros
Mansilla Mayor	Mansilla Mayor
Gordoncillo	Gordoncillo
San Esteban de Nogales	San Esteban de Nogales
Regueras de Arriba	Regueras de Arriba
Luyego	Luyego
San Emiliano	San Emiliano
Maraña	Maraña
Castrotierra de Valmadrigal	Castrotierra de Valmadrigal
Magaz de Cepeda	Magaz de Cepeda
Matadeón de los Oteros	Matadeón de los Oteros
Castrillo de Cabrera	Castrillo de Cabrera
Gusendos de los Oteros	Gusendos de los Oteros
Chozas de Abajo	Chozas de Abajo
Roperuelos del Páramo	Roperuelos del Páramo
Sonata No. 8 no Piano (Beethoven)	Sonate pour piano nº 8 de Beethoven
ʻĀpana	District
Aotearoa	Aotearoa
John Singer Sargent	John Singer Sargent
Sesame Street	1, rue Sésame
Aupuni Mōʻī o Hawaiʻi	Royaume d'Hawaï
Mauna Loa	Mauna Loa
Pat Hingle	Pat Hingle
Frans Hals	Frans Hals
Pō La‘i Ē	Douce nuit, sainte nuit
Nuʻuhiwa	Îles Marquises
Edentata	Xenarthra
Hualālai	Hualālai
Caltojar	Caltojar
Christopher Lee	Christopher Lee
Knoxville, Kenekī	Knoxville
Lāna‘i	Lanai
Carl Larsson	Carl Larsson
Kīlauea	Kīlauea
Maui	Maui
Māmā	Tempo
Christopher Plummer	Christopher Plummer
Mokupuni o Hawai‘i	Géographie d'Hawaï
Ivan Shishkin	Ivan Chichkine
Moloka‘i	Molokai
Nancy Reagan	Nancy Reagan
Almuñécar	Almuñécar
Hakakā ‘ole	Non-meurtre
Kaua‘i	Kauai
Tigranes II	Tigrane II d'Arménie
Georges de La Tour	Georges de La Tour
Adour	Adour
Ivan Kramskoi	Ivan Kramskoï
Motril	Motril
Roger Ebert	Roger Ebert
John Bauer	John Bauer
Adolfo Suárez	Adolfo Suárez
Thomas Eakins	Thomas Eakins
Kamehameha I	Kamehameha Ier
Hilo	Hilo
Anggun	Anggun
Kaho‘olawe	Kahoolawe
Kalo	Colocasia esculenta
Makua Kamiano	Père Damien
Ni‘ihau	Niihau
Dixie Carter	Dixie Carter
Guadix	Guadix
Pete Seeger	Pete Seeger
Heleuī	Halloween
Waikīkī	Waikiki
Brook Mahealani Lee	Brook Lee
Castrojeriz	Castrojeriz
Camponaraya	Camponaraya
O Clone	Le Clone (série télévisée)
Xuxa	Xuxa
Bañuelos de Bureba (Burgos)	Bañuelos de Bureba
Imelda Marcos	Imelda Marcos
Mariana Ximenes	Mariana Ximenes
Órgiva	Órgiva
Michael Gough	Michael Gough
Sargentes de la Lora (Burgos)	Sargentes de la Lora
Peterosauru	Ptérodactyle
Makeima	Macadamia
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Andrew Wyeth	Andrew Wyeth
'Imi loa Dora	Dora l'exploratrice
Loja	Loja (Grenade)
Hua mele hapawalu	Croche (musique)
Hua mele ‘oko‘a	Ronde (musique)
Hua mele hapahā	Noire (musique)
Kamehameha	Kamehameha
Richard Schiff	Richard Schiff
Pedro de Betancur	Pedro de San José Betancur
Villarcayo de Merindad de Castilla la Vieja (Burgos)	Villarcayo de Merindad de Castilla la Vieja
Tubilla del Lago (Burgos)	Tubilla del Lago
Maki a Ruby	Max et Ruby
Jeddah	Djeddah
Almaluez	Almaluez
Salas de los Infantes (Burgos)	Salas de los Infantes
Kamehameha II	Kamehameha II
Makakilo	Makakilo
Arraya de Oca (Burgos)	Arraya de Oca
Valencia de Don Juan	Valencia de Don Juan
Bugedo (Burgos)	Bugedo
Hua mele hapalua	Blanche (musique)
Anne Hathaway	Anne Hathaway
ʻAiea	Aiea
Partido de la Sierra en Tobalina (Burgos)	Partido de la Sierra en Tobalina
Valdefresno	Valdefresno
Salobreña	Salobreña
El Maderal	El Maderal
Roa (Burgos)	Roa
Calvarrasa de Arriba	Calvarrasa de Arriba
Kamehameha III	Kamehameha III
Buke a Moramona	Livre de Mormon
Carazo	Département de Carazo
Astorga	Astorga
Pōmare IV	Pōmare IV
Mary Kawena Pukui	Mary Kawena Pukui
Alexander ʻIolani Liholiho	Kamehameha IV
Tan Son Nhat International Airport	Aéroport international de Tân Sơn Nhất
Aliud	Aliud
Baraona	Baraona
Medinaceli	Medinaceli
Láchar	Láchar
Burgo de Osma-Ciudad de Osma	El Burgo de Osma
San Esteban de Gormaz	San Esteban de Gormaz
Baza	Baza
San Vicente del Raspeig	Sant Vicent del Raspeig
Aranda de Duero (Burgos)	Aranda de Duero
Nā kiaʻāina o Hawaiʻi	Liste des gouverneurs d'Hawaï
Ka'aahi Thomas	Thomas et ses amis
Likaono	Lycaon (Arcadie)
Alhama de Granada	Alhama de Granada
Mauna kai	Mont sous-marin
Espinosa de los Monteros (Burgos)	Espinosa de los Monteros
Rabanera del Pinar (Burgos)	Rabanera del Pinar
Haleakalā	Haleakalā
Navaleno	Navaleno
Las Omañas	Las Omañas
Huahine	Huahine
Alfoz de Bricia (Burgos)	Alfoz de Bricia
Villalbilla de Burgos (Burgos)	Villalbilla de Burgos
Honolulu International Airport	Aéroport international d'Honolulu
Efrem Zimbalist, Jr.	Efrem Zimbalist II
Kailua	Kailua
Belorado (Burgos)	Belorado
Fresneda de la Sierra Tirón (Burgos)	Fresneda de la Sierra Tirón
Carcedo de Burgos	Carcedo de Burgos
Cijuela	Cijuela
Armilla	Armilla
Chauchina	Chauchina
Dúrcal	Dúrcal
Cantabrana	Cantabrana
Fuente Vaqueros	Fuente Vaqueros
Huéscar	Huéscar
Maracena	Maracena
Palacios de Riopisuerga (Burgos)	Palacios de Riopisuerga
Līhuʻe	Lihue
Pedrosa del Príncipe (Burgos)	Pedrosa del Príncipe
Merindad de Valdeporres (Burgos)	Merindad de Valdeporres
Tubilla del Agua (Burgos)	Tubilla del Agua
Valdepiélago	Valdepiélago
Villademor de la Vega	Villademor de la Vega
Zotes del Páramo	Zotes del Páramo
Priaranza del Bierzo	Priaranza del Bierzo
Villagonzalo Pedernales (Burgos)	Villagonzalo Pedernales
Avellanosa de Muñó (Burgos)	Avellanosa de Muñó
Pinos Puente	Pinos Puente
Fuentes de Carbajal	Fuentes de Carbajal
Garcibuey	Garcibuey
El Bodón	El Bodón
Monasterio de la Sierra (Burgos)	Monasterio de la Sierra
Villamiel de la Sierra (Burgos)	Villamiel de la Sierra
Santa Fe	Santa Fe (Grenade)
Solarana (Burgos)	Solarana
Kailua-Kona	Kailua-Kona
Barrio de Muñó (Burgos)	Barrio de Muñó
Valmala (Burgos)	Valmala (Espagne)
Terradillos de Esgueva (Burgos)	Terradillos de Esgueva
Villamartín de Don Sancho	Villamartín de Don Sancho
Viveiro	Viveiro
Sobrado	Sobrado (La Corogne)
Basconcillos del Tozo (Burgos)	Basconcillos del Tozo
Palapala ‘Āina Honua	Planisphère
Abajas (Burgos)	Abajas
Itero del Castillo (Burgos)	Itero del Castillo
Izagre	Izagre
Reinosa	Reinosa
Mokupāpapa	Kure (île)
Sila Hawaiʻi	Monachus schauinslandi
Cacabelos	Cacabelos
Béjar	Béjar
Topas	Topas
‘Ārue	Arue (Polynésie française)
Soto de la Vega	Soto de la Vega
Kaunakakai	Kaunakakai
Valle de Sedano (Burgos)	Valle de Sedano
Junta de Traslaloma (Burgos)	Junta de Traslaloma
Mansilla de las Mulas	Mansilla de las Mulas
ʻOeneusa	Œnée
Atapuerca (Burgos)	Atapuerca
Kaʻū	Kaʻū
Riocavado de la Sierra (Burgos)	Riocavado de la Sierra
Villanueva de Argaño (Burgos)	Villanueva de Argaño
Valderas	Valderas
Menekikā	Mehndī
Gradefes	Gradefes
Onzonilla	Onzonilla
Arenas de Iguña	Arenas de Iguña
Backyardigans	Les Mélodilous
Barca	Barqa (Libye)
Ciudad Rodrigo	Ciudad Rodrigo
Sahagún	Sahagún (Espagne)
Villatuelda (Burgos)	Villatuelda
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Covaleda	Covaleda
Casarejos	Casarejos
Calatañazor	Calatañazor
Almazul	Almazul
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Beratón	Beratón
Almenar de Soria	Almenar de Soria
Cigudosa	Cigudosa
Ausejo de la Sierra	Ausejo de la Sierra
Valtajeros	Valtajeros
Arévalo de la Sierra	Arévalo de la Sierra
Castillejo de Robledo	Castillejo de Robledo
Las Aldehuelas	Las Aldehuelas
Oncala	Oncala
Ciria	Ciria
Duruelo de la Sierra	Duruelo de la Sierra
Borjabad	Borjabad
Quintana Redonda	Quintana Redonda
Yelo	Yelo
Langa de Duero	Langa de Duero
Miño de San Esteban	Miño de San Esteban
Santa María de Huerta	Santa María de Huerta
Toro (Zamora)	Toro (Zamora)
Deza	Deza
Trabadelo	Trabadelo
Caleruega	Caleruega
Hospital de Órbigo	Hospital de Órbigo
Villafranca del Bierzo	Villafranca del Bierzo
Cyclops (Marvel)	Cyclope (comics)
Pōmare II	Pōmare II
Pōmare I	Pōmare Ier
Pōmare III	Pōmare III
Peñausende	Peñausende
Villadangos del Páramo	Villadangos del Páramo
Vega de Valcarce	Vega de Valcarce
Valverde de la Virgen	Valverde de la Virgen
Susinos del Páramo (Burgos)	Susinos del Páramo
Seregélyes	Seregélyes
Quintanar de la Sierra (Burgos)	Quintanar de la Sierra
Olmedillo de Roa (Burgos)	Olmedillo de Roa
Valle de Valdebezana (Burgos)	Valle de Valdebezana
Calzada del Coto	Calzada del Coto
Valdesamario	Valdesamario
Fuentes de Oñoro	Fuentes de Oñoro
Val de San Lorenzo	Val de San Lorenzo
Baños de Valdearados (Burgos)	Baños de Valdearados
Insane Clown Posse	Insane Clown Posse
Losacino	Losacino
Villaquilambre	Villaquilambre
Pradoluengo (Burgos)	Pradoluengo
Padilla de Arriba (Burgos)	Padilla de Arriba
La Cueva de Roa	La Cueva de Roa
Valdemora	Valdemora
Tardajos (Burgos)	Tardajos
Sotragero (Burgos)	Sotragero
Hurones (Burgos)	Hurones
Villanueva de Teba (Burgos)	Villanueva de Teba
Condado de Treviño	Comté de Treviño
Castildelgado	Castildelgado
Cardeñuela Riopico	Cardeñuela Riopico
Alba de Tormes	Alba de Tormes
Espinosa del Camino (Burgos)	Espinosa del Camino
Villares de Órbigo	Villares de Órbigo
Orbaneja Riopico (Burgos)	Orbaneja Riopico
Palazuelos de Muñó (Burgos)	Palazuelos de Muñó
Nebreda (Burgos)	Nebreda
Benavente (Zamora)	Benavente
Galbarros (Burgos)	Galbarros
Palacios de la Sierra (Burgos)	Palacios de la Sierra
Peñaranda de Duero (Burgos)	Peñaranda de Duero
Riego de la Vega	Riego de la Vega
Viloria de Rioja (Burgos)	Viloria de Rioja
Pinilla de los Barruecos (Burgos)	Pinilla de los Barruecos
Villambistia (Burgos)	Villambistia
Tosantos (Burgos)	Tosantos
Hornillos del Camino (Burgos)	Hornillos del Camino
Villafranca Montes de Oca (Burgos)	Villafranca Montes de Oca
Hontanas (Burgos)	Hontanas
