非洲	Afrique
日本	Japon
南美洲	Amérique du Sud
挪威	Norvège
愛爾蘭	Irlande (pays)
西班牙	Espagne
美國	États-Unis
地球	Terre
過世	Mort
人	Homo sapiens
幸福	Bonheur
喬治·華盛頓	George Washington
芬蘭	Finlande
瑞典	Suède
丹麥	Danemark
波蘭	Pologne
意大利	Italie
希臘	Grèce
土耳其	Turquie
啤酒	Bière
歐洲	Europe
亞洲	Asie
北美洲	Amérique du Nord
南極洲	Antarctique
維基百科	Wikipédia
荷蘭	Pays-Bas
卵	Pénis
紐約市	New York
華盛頓哥倫比亞特區	Washington (district de Columbia)
舊金山	San Francisco
柏林	Berlin
洛杉磯	Los Angeles
電腦	Ordinateur
互聯網	Internet
奧巴馬	Barack Obama
倫敦	Londres
蘋果	Pomme
巴黎	Paris
亞伯拉罕·林肯	Abraham Lincoln
Google	Google
墨西哥	Mexique
大西洋	Océan Atlantique
太平洋	Océan Pacifique
加利福尼亞州	Californie
波士頓	Boston
禮拜一	Lundi
一月	Janvier
二月	Février
三月	Mars (mois)
火星	Mars (planète)
埃塞俄比亞	Éthiopie
4月	Avril
5月	Mai
六月	Juin
七月	Juillet
八月	Août
九月	Septembre
十月	Octobre
十一月	Novembre
十二月	Décembre
禮拜二	Mardi
禮拜三	Mercredi
禮拜四	Jeudi
禮拜五	Vendredi
禮拜六	Samedi
禮拜天	Dimanche
法國	France
狗	Chien
英國	Royaume-Uni
貓	Chat
中華人民共和國	Chine
法語	Français
魚	Poisson
酒	Boisson alcoolisée
巴西	Brésil
俄羅斯	Russie
方形	Carré
海	Mer
黑海	Mer Noire
圓周率	Pi
阿拉巴馬州	Alabama
聖保羅	São Paulo
德國	Allemagne
德語	Allemand
土星	Saturne (planète)
飛行器	Avion
打仗	Guerre
1	1 (nombre)
2	2 (nombre)
3	3 (nombre)
4	4 (nombre)
5	5 (nombre)
無限	Infini
烏克蘭	Ukraine
羅馬	Rome
克罗地亚	Croatie
古巴	Cuba
印度尼西亞	Indonésie
莫扎特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
南非	Afrique du Sud
維基文庫	Wikisource
葡萄酒	Vin
水	Eau
木	Bois
電視	Télévision
冰島語	Islandais
摩內	Claude Monet
韋拿克	Diego Vélasquez
智利	Chili
耶穌	Jésus-Christ
貓王	Elvis Presley
伽利略	Galilée (savant)
水星	Mercure (planète)
歷史	Histoire
金星	Vénus (planète)
語言	Langage
愛	Amour
木星	Jupiter (planète)
天王星	Uranus (planète)
海王星	Neptune (planète)
天文學	Astronomie
新加坡	Singapour
科學	Science
運動	Sport
希特勒	Adolf Hitler
Facebook	Facebook
第一次世界大戰	Première Guerre mondiale
第二次世界大戰	Seconde Guerre mondiale
鐘	Horloge
數學	Mathématiques
拉丁語	Latin
月光	Lune
伊斯坦布爾	Istanbul
澳大利亞	Australie
物理學	Physique
阿根廷	Argentine
電信	Télécommunications
朝鮮民主主義人民共和國	Corée du Nord
柬埔寨	Cambodge
恐龍	Dinosaure
駄	Roue
狄德羅	Denis Diderot
心智	Esprit
萬維網	World Wide Web
女人	Femme
詩	Poésie
脇胛	Aisselle
檸檬	Citron
香蕉	Banane
666年	666
花	Fleur
珠穆朗瑪峰	Everest
城市	Ville
拿破崙	Napoléon Ier
太陽	Soleil
光年	Année-lumière
雨果	Victor Hugo
大洋洲	Océanie
田徑	Athlétisme
太陽系	Système solaire
地獄	Enfer
書	Livre (document)
日	Jour
