អាហ្វ្រិក	Afrique
ជប៉ុន	Japon
អង់គ្លេស	Angleterre
ស្កុតឡែន	Écosse
វ៉ែល	Pays de Galles
អៀរឡង់ខាងជើង	Irlande du Nord
សាធារណរដ្ឋអៀរឡង់	Irlande (pays)
ប្រទេសហុងគ្រី	Hongrie
អេស្ប៉ាញ	Espagne
សហរដ្ឋអាមេរិក	États-Unis
ផែនដី	Terre
ប៊ឺណឺស លី	Tim Berners-Lee
ស៊ុយអែត	Suède
ប្រទេសប៉ូឡូញ	Pologne
អ៊ីតាលី	Italie
ព័រទុយហ្គាល់	Portugal
អឺរ៉ុប	Europe
អាស៊ី	Asie
វិគីភីឌា	Wikipédia
ភីអេចភី	PHP
ទីក្រុងញូវយ៉ក	New York
កុំព្យូទ័រ	Ordinateur
អ៊ីនធើណេត	Internet
បារ៉ាក់ អូបាម៉ា	Barack Obama
ប៉ារីស	Paris
អាប្រាហាម លីនខូន	Abraham Lincoln
ប្រព័ន្ធប្រតិបត្តការ Android	Android
Google ស្វែងរក	Google
ម៉ិកស៊ិក	Mexique
មហាសមុទ្រអាត្លង់ទិក	Océan Atlantique
មហាសមុទ្រប៉ាស៊ីហ្វិក	Océan Pacifique
ថ្ងៃច័ន្ទ	Lundi
ខែមករា	Janvier
ខែកុម្ភៈ	Février
ខែមីនា	Mars (mois)
ភពអង្គារ	Mars (planète)
ខែមេសា	Avril
ខែឧសភា	Mai
ខែមិថុនា	Juin
ខែកក្កដា	Juillet
ខែសីហា	Août
ខែកញ្ញា	Septembre
ខែតុលា	Octobre
ខែវិច្ឆិកា	Novembre
ខែធ្នូ	Décembre
អង្គារ	Mardi
ថ្ងៃពុធ	Mercredi
ថ្ងៃព្រហស្បតិ៍	Jeudi
ថ្ងៃសុក្រ	Vendredi
ថ្ងៃសៅរ៍	Samedi
ថ្ងៃអាទិត្យ	Dimanche
សេះ (​អុក​)	Cavalier (échecs)
បារាំង	France
សត្វឆ្កែ	Chien
រាជាណាចក្ររួម	Royaume-Uni
ឆ្មា	Chat
ភាសាបារាំង	Français
ប្រេស៊ីល	Brésil
រុស្ស៊ី	Russie
ការ៉េ	Carré
សមុទ្រ	Mer
អាល្លឺម៉ង់	Allemagne
ភាសាអាល្លឺម៉ង់	Allemand
