阿非利加洲	Afrique
日本	Japon
挪威	Norvège
英格蘭	Angleterre
蘇格蘭	Écosse
愛爾蘭共和國	Irlande (pays)
匈牙利	Hongrie
西班牙	Espagne
美國	États-Unis
比利時	Belgique
盧森堡	Luxembourg (pays)
宇宙	Univers
坤輿	Terre
死	Mort
人	Homo sapiens
華盛頓	George Washington
芬蘭	Finlande
瑞典	Suède
丹麥	Danemark
波蘭	Pologne
立陶宛	Lituanie
義大利	Italie
瑞士	Suisse
奧地利	Autriche
希臘共和國	Grèce
土耳其	Turquie
啤酒	Bière
葡萄牙	Portugal
歐羅巴洲	Europe
亞細亞洲	Asie
南極洲	Antarctique
維基大典	Wikipédia
荷蘭	Pays-Bas
紐約市	New York
華盛頓哥倫比亞特區	Washington (district de Columbia)
柏林	Berlin
電腦	Ordinateur
共筆臺	MediaWiki
倫敦	Londres
巴黎	Paris
安卓	Android
谷歌	Google
墨西哥	Mexique
太平洋	Océan Pacifique
熒惑	Mars (planète)
衣索比亞	Éthiopie
迦納	Ghana
法國	France
世界語	Espéranto
犬	Chien
英國	Royaume-Uni
貓	Chat
中華人民共和國	Chine
法蘭西語	Français
維基爾雅	Wiktionnaire
乙醇	Éthanol
巴西	Brésil
醇	Alcool (chimie)
俄羅斯	Russie
光導纖維	Fibre optique
正方形	Carré
圓周率	Pi
共筆	Wiki
魁北克	Québec
維基媒體基金會	Wikimedia Foundation
威霽彌	Jimmy Wales
德國	Allemagne
白俄羅斯	Biélorussie
德語	Allemand
冰島	Islande
愛沙尼亞	Estonie
鎮星	Saturne (planète)
飛機	Avion
一	1 (nombre)
二	2 (nombre)
三	3 (nombre)
〇	Zéro
無限	Infini
拉脫維亞	Lettonie
烏克蘭	Ukraine
捷克	République tchèque
斯洛伐克	Slovaquie
羅馬尼亞	Roumanie
保加利亞	Bulgarie
羅馬	Rome
馬其頓	Macédoine (pays)
格陵蘭	Groenland
哈薩克	Kazakhstan
古巴	Cuba
印度尼西亞	Indonésie
莫扎特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
南非	Afrique du Sud
商博良	Jean-François Champollion
阿爾及利亞	Algérie
水	Eau
電視	Télévision
智利	Chili
耶穌	Jésus-Christ
伽利略	Galilée (savant)
辰星	Mercure (planète)
史	Histoire
蘋果公司	Apple
太白	Vénus (planète)
語言	Langage
愛	Amour
歲星	Jupiter (planète)
銀河	Voie lactée
大霹靂	Big Bang
天王星	Uranus (planète)
英文維基大典	Wikipédia en anglais
海王星	Neptune (planète)
新加坡	Singapour
格致	Science
冥王星	Pluton (planète naine)
列支敦士登	Liechtenstein
希特勒	Adolf Hitler
臉書	Facebook
第一次世界大戰	Première Guerre mondiale
第二次世界大戰	Seconde Guerre mondiale
烏邦土	Ubuntu
數學	Mathématiques
拉丁語	Latin
巴林	Bahreïn
塞爾維亞	Serbie
月	Lune
澳大利亞	Australie
物理	Physique
阿根廷	Argentine
秘魯	Pérou
生物學	Biologie
朝鮮民主主義人民共和國	Corée du Nord
柬埔寨	Cambodge
古蘭經	Coran
恐龍	Dinosaure
回教	Islam
大英百科	Encyclopædia Britannica
歐羅巴聯盟	Union européenne
朋友	Amitié
馬里亞納海溝	Fosse des Mariannes
珠穆朗瑪峰	Everest
拿破崙一世	Napoléon Ier
恆星	Étoile
日	Soleil
巴斯特	Louis Pasteur
光年	Année-lumière
大洋洲	Océanie
太陽系	Système solaire
氫	Hydrogène
氦	Hélium
維基共享	Wikimedia Commons
鋰	Lithium
鈹	Béryllium
日（曆法）	Jour
東帝汶	Timor oriental
夜	Nuit
黑洞	Trou noir
穀神星	(1) Cérès
妊神星	(136108) Hauméa
鳥神星	(136472) Makémaké
鬩神星	(136199) Éris
硼	Bore
碳	Carbone
氮	Azote
氧	Oxygène
行星	Planète
威尼斯	Venise
火影忍者	Naruto
莫斯科	Moscou
氟	Fluor
義大利語	Italien
氖	Néon
鈉	Sodium
鎂	Magnésium
鋁	Aluminium
紐西蘭	Nouvelle-Zélande
印度	Inde
硅	Silicium
磷	Phosphore
鐵	Fer
硫	Soufre
東	Est
氯	Chlore
巴布亞新幾內亞	Papouasie-Nouvelle-Guinée
莎士比亞	William Shakespeare
氬	Argon
鉀	Potassium
鈣	Calcium
鉛	Plomb
蒙古國	Mongolie
鈧	Scandium
鈦	Titane
委內瑞拉	Venezuela
成吉思汗	Gengis Khan
釩	Vanadium
鉻	Chrome
阿姆斯特丹	Amsterdam
動物	Animal
錳	Manganèse
哥倫比亞	Colombie
鈷	Cobalt
鎢	Tungstène
鎳	Nickel
佛教	Bouddhisme
玻利維亞	Bolivie
銅	Cuivre
千里達及托巴哥	Trinité-et-Tobago
植物	Plante
鋅	Zinc
真菌	Fungi
牙買加	Jamaïque
夏威夷	Hawaï
海地	Haïti
伊朗	Iran
伊拉克	Irak
哥斯大黎加	Costa Rica
以色列	Israël
巴拿馬	Panama
科威特	Koweït
老撾	Laos
馬爾地夫	Maldives
亞美利加洲	Amérique
馬來西亞	Malaisie
緬甸	Birmanie
尼泊爾	Népal
阿曼	Oman
巴基斯坦	Pakistan
卡達國	Qatar
沙特阿拉伯	Arabie saoudite
