阿非利加洲	Afrique
斯里蘭卡	Sri Lanka
斯大林	Joseph Staline
柏拉圖	Platon
鎵	Gallium
神奇寶貝	Pokémon
中華民國	Taïwan
鍺	Germanium
泰國	Thaïlande
砒	Arsenic
硒	Sélénium
溴	Brome
鉑	Platine
越南	Viêt Nam
大韓民國	Corée du Sud
氪	Krypton
阿富汗	Afghanistan
江南風	Gangnam Style
銣	Rubidium
金	Or
蘇彝士運河	Canal de Suez
孟加拉國	Bangladesh
蘇格拉底	Socrate
安哥拉	Angola
不丹	Bhoutan
汶萊	Brunei
汞	Mercure (chimie)
菲律賓	Philippines
中非	République centrafricaine
鉈	Thallium
南極	Pôle Sud
北極	Pôle Nord
牛頓	Isaac Newton
鍶	Strontium
釔	Yttrium
鉍	Bismuth
尚比亞	Zambie
津巴布韋	Zimbabwe
北京市	Pékin
南蘇丹	Soudan du Sud
海參崴	Vladivostok
波札那	Botswana
剛果民主共和國	République démocratique du Congo
吉布提	Djibouti
加蓬	Gabon
甘地	Mohandas Karamchand Gandhi
利比亞	Libye
馬達加斯加	Madagascar
摩洛哥	Maroc
莫桑比克	Mozambique
納米比亞	Namibie
尼日利亞	Nigeria
烏干達	Ouganda
索馬里	Somalie
凱撒	Jules César
蘇丹	Soudan
斯威士蘭	Swaziland
鍀	Technétium
天演	Évolution (biologie)
聯合國	Organisation des Nations unies
地理學	Géographie
腦	Cerveau
布拉格	Prague
銀	Argent
錫	Étain
鈾	Uranium
鈈	Plutonium
碘	Iode
氙	Xénon
銫	Césium
鐳	Radium
氡	Radon
賈坎德邦	Jharkhand
耶路撒冷	Jérusalem
印度洋	Océan Indien
科索沃	Kosovo
蕭邦	Frédéric Chopin
Category:類	Catégorie:Accueil
帕斯卡	Blaise Pascal
冬	Hiver
春	Printemps
夏	Été
秋	Automne
薩達姆·海珊	Saddam Hussein
拉登	Oussama ben Laden
西班牙語	Espagnol
巴赫	Johann Sebastian Bach
泉幣	Monnaie
奧古斯都	Auguste
諾基亞	Nokia
德克薩斯州	Texas
布宜諾斯艾利斯	Buenos Aires
東京都	Tokyo
密西西比河	Mississippi (fleuve)
錫金	Sikkim
尼爾杭思朗	Neil Armstrong
斯德哥爾摩	Stockholm
墓誌	Épitaphe
里加	Riga
聖經	Bible
金邊	Phnom Penh
真耶穌教會	Véritable Jésus Église
英語	Anglais
曼谷	Bangkok
臺北市	Taipei
鎇	Américium
康賽普西翁	Concepción (Chili)
緬尼托巴	Manitoba
孔斯科沃拉	Końskowola
公元二千年	2000
二〇〇三年	2003
二〇〇二年	2002
二〇〇一年	2001
二〇一二年	2012
二〇一一年	2011
二〇一〇年	2010
二〇〇九年	2009
二氧化碳	Dioxyde de carbone
二〇一三年	2013
二〇一四年	2014
二〇一五年	2015
二〇〇八年	2008
二〇〇四年	2004
二〇〇五年	2005
二〇〇六年	2006
二〇〇七年	2007
一氧化碳	Monoxyde de carbone
戴高樂	Charles de Gaulle
一九九二年	1992
一九九一年	1991
一九九〇年	1990
一九九三年	1993
一九九四年	1994
一九九五年	1995
一九九六年	1996
可縮放矢量圖形	Scalable Vector Graphics
萊比錫	Leipzig
一九九七年	1997
一九九八年	1998
一九九九年	1999
食物	Nourriture
光速	Vitesse de la lumière
公曆一月一日	1er janvier
公曆一月二日	2 janvier
公曆一月三日	3 janvier
公曆一月四日	4 janvier
矮行星	Planète naine
公曆一月五日	5 janvier
公曆一月六日	6 janvier
電子	Électron
公曆一月七日	7 janvier
公曆一月八日	8 janvier
公曆一月九日	9 janvier
公曆一月十日	10 janvier
公曆一月十一日	11 janvier
公曆一月十二日	12 janvier
公曆一月十三日	13 janvier
公曆一月十四日	14 janvier
公曆一月十五日	15 janvier
工業革命	Révolution industrielle
苯	Benzène
微軟	Microsoft
質子	Proton
庫魯夫	Kurów
公曆二月五日	5 février
公曆二月八日	8 février
化學	Chimie
中子	Neutron
公曆二月廿九日	29 février
公曆三月十四日	14 mars
一九八九年	1989
一九八八年	1988
一九八七年	1987
一九八六年	1986
一九八五年	1985
一九八四年	1984
一九八三年	1983
一九八二年	1982
一九八一年	1981
一九八〇年	1980
一九七〇年	1970
一九七一年	1971
一九七二年	1972
一九七三年	1973
一九七四年	1974
一九七五年	1975
一九七六年	1976
一九七七年	1977
一九七八年	1978
一九七九年	1979
一九六九年	1969
公曆四月五日	5 avril
衛星	Satellite naturel
公曆五月四日	4 mai
土衛六	Titan (lune)
一九六八年	1968
一九六七年	1967
一九六六年	1966
一九六五年	1965
一九六四年	1964
公曆六月廿日	20 juin
公曆七月廿三日	23 juillet
足球	Football
一九六三年	1963
一九六二年	1962
公曆九月十日	10 septembre
公曆十二月卅一日	31 décembre
公曆十月十日	10 octobre
灶神星	(4) Vesta
查理曼	Charlemagne
木衛一	Io (lune)
木衛四	Callisto (lune)
木衛二	Europe (lune)
木衛三	Ganymède (lune)
火	Feu
新南威爾士州	Nouvelle-Galles du Sud
土衛二	Encelade (lune)
天衛三	Titania (lune)
海衛一	Triton (lune)
雅加達	Jakarta
一九六一年	1961
Category:模板	Catégorie:Espace Modèle
一九六〇年	1960
小行星	Astéroïde
日食	Éclipse solaire
二進制	Système binaire
阿斯圖里亞斯	Asturies
維基大典:沙盒	Wikipédia:Bac à sable
卡爾梅克共和國	Kalmoukie
代數學	Algèbre
地圖	Carte géographique
阿拉貢自治區	Aragon (communauté autonome)
前卅三年	33 av. J.-C.
硫酸	Acide sulfurique
同海機場	Aéroport de Đồng Hới
Category:大韓民國紀事	Catégorie:Histoire de la Corée du Sud
Category:日本史	Catégorie:Histoire du Japon
伯力	Khabarovsk
Category:越南史	Catégorie:Histoire du Viêt Nam
孔子	Confucius
莎拉伯恩哈特	Sarah Bernhardt
Category:伊拉克史	Catégorie:Histoire de l'Irak
南加州大学	Université de Californie du Sud
Category:數學	Catégorie:Mathématiques
Category:蒙古史	Catégorie:Histoire de la Mongolie
Category:人造語言	Catégorie:Langue construite
文藝復興	Renaissance
歐元	Euro
美金	Dollar américain
地中海	Mer Méditerranée
遼	Dynastie Liao
杭州市	Hangzhou
基督教	Christianisme
Template:亞洲	Modèle:Palette Pays d'Asie
Template:然也	Modèle:Pour
金朝	Dynastie Jin (1115-1234)
柏林圍牆	Mur de Berlin
稻	Riz
大陸	Continent
京	Capitale
Template:門	Modèle:Portail
一九四八年	1948
艾爾瑪善鎮	Almazán
黃現璠	Huang Xianfan
一九四五年	1945
一九五八年	1958
日語	Japonais
百科全書	Encyclopédie
維基大典:卷首	Wikipédia:Accueil principal
一九五九年	1959
Template:正典	Modèle:Bon article
電晶體	Transistor
棒球	Baseball
奧林匹克運動會	Jeux olympiques
長江	Yangzi Jiang
喜瑪拉雅山	Himalaya
落磯山	Montagnes Rocheuses
韃靼斯坦共和國	Tatarstan
一二六三年	1263
古斯巴達	Sparte
埃斯特雷馬杜拉	Estrémadure
安達盧西亞	Andalousie
麥加	La Mecque
毛澤東	Mao Zedong
西安市	Xi'an
拉薩市	Lhassa
哲學	Philosophie
Category:速刪候	Catégorie:Wikipédia:Suppression immédiate demandée
茶	Thé
馬可·波羅	Marco Polo
一三六三年	1363
共產主義	Communisme
一三六八年	1368
迦太基	Carthage
大英博物館	British Museum
巴拉頓湖	Lac Balaton
蒙庇利埃	Montpellier
Category:天文	Catégorie:Astronomie
吉他	Guitare
同性戀	Homosexualité
漢堡包	Hamburger
夸克	Quark
高斯	Carl Friedrich Gauss
一六四四年	1644
一六四五年	1645
Category:恒星	Catégorie:Étoile
李白	Li Bai
伽羅華	Évariste Galois
政府	Gouvernement
秦始皇帝	Qin Shi Huang
秦二世皇帝	Qin Er Shi
秦王子嬰	Ziying
中東	Moyen-Orient
漢	Dynastie Han
漢太祖高皇帝	Han Gaozu
漢孝惠皇帝	Han Huidi
漢少帝恭	Han Qian Shaodi
漢少帝弘	Han Hou Shaodi
漢太宗孝文皇帝	Han Wendi
漢孝景皇帝	Han Jingdi
漢世宗孝武皇帝	Han Wudi
聖女貞德	Jeanne d'Arc
漢孝昭皇帝	Han Zhaodi
漢廢帝昌邑王	Prince He de Changyi
漢中宗孝宣皇帝	Han Xuandi
漢孝元皇帝	Han Yuandi
漢孝成皇帝	Han Chengdi
漢孝哀皇帝	Han Aidi
漢孝平皇帝	Han Pingdi
漢孺子嬰	Han Ruzi
意理	Idéologie
帝國主義	Impérialisme
漢更始帝	Han Geng Shidi
漢世祖光武皇帝	Han Guang Wudi
共和	République
漢顯宗孝明皇帝	Han Mingdi
國	État
漢肅宗孝章皇帝	Han Zhangdi
漢孝和皇帝	Han Hedi
漢孝安皇帝	Han Andi
漢孝順皇帝	Han Shundi
漢孝桓皇帝	Han Huandi
漢孝靈皇帝	Han Lingdi
元	Dynastie Yuan
漢孝獻皇帝	Han Xiandi
德意志第三帝國	Troisième Reich
哥倫布	Christophe Colomb
庫克船長	James Cook
科爾蒂斯	Hernán Cortés
鄭和	Zheng He
大堡礁	Grande barrière de corail
巴拿馬運河	Canal de Panama
晉	Dynastie Jin (265-420)
黃河	Fleuve Jaune
晉武帝	Sima Yan
隋	Dynastie Sui
西夏	Dynastie des Xia occidentaux
脫氧核酸	Acide désoxyribonucléique
趙宋	Dynastie Song
宋太祖	Song Taizu
宋徽宗	Song Huizong
宋高宗	Song Gaozong
宋孝宗	Song Xiaozong
宋光宗	Song Guangzong
宋寧宗	Song Ningzong
宋理宗	Song Lizong
宋度宗	Song Duzong
宋恭帝	Song Gong
宋端宗	Song Duanzong
宋帝昺	Song Bing
歐拉	Leonhard Euler
一七七四年	1774
一七七五年	1775
一七七六年	1776
一八六六年	1866
一八六七年	1867
一八六八年	1868
晝	Matin
拿破崙二世	Napoléon II
砒霜	Anhydride arsénieux
法律	Droit
一七九四年	1794
世界人權宣言	Déclaration universelle des droits de l'homme
一七九五年	1795
一七九六年	1796
漢語	Langues chinoises
細胞	Cellule (biologie)
全球暖化	Réchauffement climatique
禪宗	Zen
鼠標	Souris (informatique)
聖奧思定	Augustin d'Hippone
精靈	Fée
朊	Protéine
理則	Logique
龍捲風	Tornade
幾何	Géométrie
語法	Grammaire
熱帶氣旋	Cyclone tropical
計學	Sciences économiques
語言學	Linguistique
文字	Système d'écriture
阿拉伯字	Alphabet arabe
漢字	Caractères chinois
西里爾字母	Alphabet cyrillique
孫子兵法	L'Art de la guerre
Category:音樂	Catégorie:Musique
紅樓夢	Le Rêve dans le pavillon rouge
Category:法國史	Catégorie:Histoire de France
哈利波特	Harry Potter
放手銃	Masturbation
法文維基大典	Wikipédia en français
死刑	Peine de mort
人權	Droits de l'homme
乳	Lait
山	Montagne
沙漠	Désert
孫文	Sun Yat-sen
薩拉丁	Saladin
阿育王	Ashoka
阿克巴大帝	Akbar
香港	Hong Kong
韓戰	Guerre de Corée
南北戰爭	Guerre de Sécession
首爾特別市	Séoul
上海市	Shanghai
清	Dynastie Qing
越戰	Guerre du Viêt Nam
歐几里得	Euclide
巴斯克語	Basque
星座	Constellation
拉脫維亞語	Letton
原子	Atome
宗教	Religion
朝鮮語	Coréen
笛卡兒	René Descartes
官話	Mandarin (langue)
越南語	Vietnamien
猶太教	Judaïsme
老子	Lao Tseu
電鼠	Pikachu
尼采	Friedrich Nietzsche
司馬遷	Sima Qian
斯密亞丹	Adam Smith
朱熹	Zhu Xi
廷巴克圖	Tombouctou
洋	Océan
阿奎那	Thomas d'Aquin
英王維多利亞	Victoria (reine)
釋迦牟尼	Siddhartha Gautama
馬丁·路德	Martin Luther
儒家	Confucianisme
腹	Abdomen
陰脈	Veine
福克蘭群島	Îles Malouines
陽脈	Artère
唐	Dynastie Tang
威爾斯王妃黛安娜	Diana Spencer
唐高祖	Tang Gaozu
唐太宗	Tang Taizong
唐玄宗	Tang Xuanzong
唐德宗	Tang Dezong
唐順宗	Tang Shunzong
唐憲宗	Tang Xianzong
唐敬宗	Tang Jingzong
唐宣宗	Tang Xuanzong (810-859)
明	Dynastie Ming
明太祖	Ming Hongwu
明惠宗	Ming Jianwen
明成祖	Ming Yongle
明仁宗	Ming Renzong
明宣宗	Ming Xuanzong
明英宗	Ming Yingzong
明代宗	Ming Daizong
明憲宗	Ming Xianzong
明孝宗	Ming Hongzhi
明武宗	Ming Zhengde
明世宗	Ming Jiajing
明穆宗	Ming Longqing
明神宗	Ming Wanli
明光宗	Ming Taichang
明熹宗	Ming Tianqi
明思宗	Ming Chongzhen
電漿	État plasma
北斗七星	Grande Casserole
金正日	Kim Jong-il
元素週期表	Tableau périodique des éléments
自殺	Suicide
九一一事件	Attentats du 11 septembre 2001
電話	Téléphone
梵語	Sanskrit
化合物	Composé chimique
算術	Arithmétique
食鹽	Sel alimentaire
化學元素	Élément chimique
方程	Équation
映射	Fonction (mathématiques)
角	Angle
分子	Molécule
加速度	Accélération
能量	Énergie
弈	Jeu de go
金屬	Métal
氣體	Gaz
液體	Liquide
固體	État solide
船舶	Navire
農	Agriculture
納米科技	Nanotechnologie
勾股定理	Théorème de Pythagore
證明	Démonstration
數	Nombre
複數	Nombre complexe
公斤	Kilogramme
公尺	Mètre
大麥	Orge commune
繪畫	Peinture
華爾街	Wall Street
美國總統	Président des États-Unis
東南亞	Asie du Sud-Est
瀋陽市	Shenyang
重慶市	Chongqing
天津市	Tianjin
武漢市	Wuhan
史前	Préhistoire
古埃及	Égypte antique
白令海峽	Détroit de Béring
古希臘	Grèce antique
傑弗遜	Thomas Jefferson
希臘文維基大典	Wikipédia en grec
麥	Blé
格里曆	Calendrier grégorien
拉丁文維基大典	Wikipédia en latin
麻雀 (棋牌)	Mah-jong
鹽	Sel (chimie)
牛頓（單位）	Newton (unité)
度量衡	Mesure physique
萬國公制	Système international d'unités
集論	Théorie des ensembles
哈里發塔	Burj Khalifa
長城	Grande Muraille
整數	Entier relatif
球	Sphère
大憲章	Magna Carta
阿兹特克	Aztèques
上塞納省	Hauts-de-Seine
東羅馬帝國	Empire byzantin
奧斯曼帝國	Empire ottoman
國內生產總值	Produit intérieur brut
銃	Arme à feu
伊比利半島	Péninsule Ibérique
坦克	Char de combat
實數	Nombre réel
楈枒	Cocos nucifera
桃	Pêcher
湘語	Xiang
冰酪	Crème glacée
文胸	Soutien-gorge
阿拉伯語	Arabe
本州	Honshū
四國	Shikoku
地中海氣候	Climat méditerranéen
科西嘉	Corse
頂級域名	Domaine de premier niveau
斯洛文尼亞語維基大典	Wikipédia en slovène
百度	Baidu
澳門	Macao
尖沙咀	Tsim Sha Tsui
土衛一	Mimas (lune)
土衛四	Dioné (lune)
土衛三	Téthys (lune)
土衛五	Rhéa (lune)
廣東省	Guangdong
廣西壯族自治區	Guangxi
蘇聯	Union des républiques socialistes soviétiques
香港中文大學	Université chinoise de Hong Kong
亡神星	(90482) Orcus
塞德娜	(90377) Sedna
孟德斯鳩	Montesquieu
青馬大橋	Pont Tsing Ma
維基大典:卓著	Wikipédia:Articles de qualité
維基大典:會館	Wikipédia:Le Bistro
釜山廣域市	Busan
廣州市	Canton (Chine)
蔣中正	Tchang Kaï-chek
南京市	Nankin
君士坦丁堡	Constantinople
首爾地鐵	Métro de Séoul
北京大學	Université de Pékin
清華大學	Université Tsinghua
烏魯木齊市	Ürümqi
江蘇省	Jiangsu
浙江省	Zhejiang
鄧小平	Deng Xiaoping
新好男孩	Backstreet Boys
西藏	Tibet
西藏自治區	Région autonome du Tibet
圓	Cercle
歐氏幾何	Espace euclidien
周恩來	Zhou Enlai
中國共產黨	Parti communiste chinois
馮諾曼	John von Neumann
偽基大典	Désencyclopédie
太平山	Victoria Peak
公理	Axiome
清聖祖	Kangxi
朝鮮文維基大典	Wikipédia en coréen
檀香山	Honolulu
紋章	Héraldique
曼徹斯特聯足球俱樂部	Manchester United Football Club
平壤直轄市	Pyongyang
模 (代數)	Module sur un anneau
九	9 (nombre)
清高宗	Qianlong
司徒華	Szeto Wah
蕭伯納	George Bernard Shaw
黑龍江省	Heilongjiang
香港島	Île de Hong Kong
鹼金屬	Métal alcalin
非金屬	Non-métal
鹵素	Halogène
稀有氣體	Gaz noble
維基大典:正典	Wikipédia:Bons contenus
四川省	Sichuan
舊約	Ancien Testament
聖誕節	Noël
三角形	Triangle
印歐語系	Langues indo-européennes
穆阿邁爾·格達費	Mouammar Kadhafi
獨島	Rochers Liancourt
江南區	Gangnam-gu
大田廣域市	Daejeon
大邱廣域市	Daegu
仁川國際機場	Aéroport international d'Incheon
仁川廣域市	Incheon
京畿道	Gyeonggi
自然數	Entier naturel
萬國音標字	Alphabet phonétique international
河北省	Hebei
革奴自由文檔許可協議	Licence de documentation libre GNU
蛋撻	Tarte aux œufs
臺灣	Taïwan (île)
紐約	New York (homonymie)
公元元年	1
魯迅	Lu Xun (écrivain)
八	8 (nombre)
馬德堡半球	Hémisphères de Magdebourg
主禱文	Notre Père
蒜	Ail cultivé
白	Blanc
黑	Noir
六九八年	698
巴爾幹半島	Balkans
七二七年	727
墨索里尼	Benito Mussolini
四方	Point cardinal
十	10 (nombre)
原子序	Numéro atomique
九一八年	918
公元百年	100
五七〇年	570
四時	Saison
二二二年	222
利物浦	Liverpool
鐵達尼號	Titanic
五五二年	552
同位素	Isotope
蜚蠊	Blattaria
功率	Puissance (physique)
螢	Lampyridae
索布語	Sorabe
一八一二年戰爭	Guerre anglo-américaine de 1812
頂點	Sommet (géométrie)
大理國	Royaume de Dali
朝鮮正祖	Jeongjo
福岡市	Fukuoka
建城	Ab Urbe condita
日本海	Mer du Japon
宮古列島	Îles Miyako
中亞	Asie centrale
琉球國	Royaume de Ryūkyū
伽倻	Confédération de Gaya
朝鮮國	Période Joseon
高麗國	Goryeo
大韓帝國	Empire coréen
渤海國	Balhae
高句麗	Koguryo
百濟	Baekje
新羅	Silla (Corée)
扶餘	Puyŏ
奧匈帝國	Autriche-Hongrie
吸血鬼日記	Vampire Diaries
馬雅	Civilisation maya
印加國	Empire inca
縣	Comitat
韓非子	Han Fei Zi
錦州市	Jinzhou (Liaoning)
導數	Dérivée
黃帝	Huángdì
釣魚臺列嶼	Îles Senkaku
中國	Monde chinois
成都市	Chengdu
咖啡廳	Café (établissement)
蒲公英	Taraxacum
雪豹	Once (félin)
白話維基大典	Wikipédia en chinois
二二一年	221
五四三年	543
五三六年	536
二三〇年	230
二〇二年	202
一九二年	192
總統	Président
五五五年	555
五七一年	571
滿洲國	Mandchoukouo
二三一年	231
二二五年	225
三一一年	311
二二〇年	220
三一三年	313
五八七年	587
五四八年	548
五四九年	549
五五一年	551
五五七年	557
兄弟	Fratrie
二二三年	223
二二四年	224
二一九年	219
大運河	Grand Canal (Chine)
五八九年	589
華佗	Hua Tuo
黃宗羲	Huang Zongxi
三〇四年	304
五五〇年	550
五八六年	586
五八八年	588
五五四年	554
二二九年	229
五八三年	583
二六五年	265
二六三年	263
五八五年	585
五八二年	582
五五六年	556
四二〇年	420
二八〇年	280
五八一年	581
五五八年	558
國立臺灣大學	Université nationale de Taïwan
國立中山大學	Université nationale Sun Yat-sen
東干語	Doungane (langue)
客家語	Hakka (langue)
切羅基語	Cherokee (langue)
羅素悖論	Paradoxe de Russell
五六九年	569
贛語	Gan (langue)
爪哇語	Javanais
司馬光	Sima Guang
滿語	Mandchou
弧度	Radian
五五三年	553
三〇七年	307
五八四年	584
杜甫	Du Fu
人口	Population
瓦爾帕萊索	Valparaiso
青銅	Bronze
情報及特殊使命局	Mossad
尼亞加拉瀑布	Chutes du Niagara
吳語	Wu (langue)
昭和天皇	Hirohito
基地組織	Al-Qaïda
穆罕默德二世	Mehmed II
希臘神話	Mythologie grecque
秦	État de Qin
新疆維吾爾族自治區	Xinjiang
郵局	Bureau de poste
萬國首都全覽	Liste des capitales du monde
周	Dynastie Zhou
形而上學	Métaphysique
白宮	Maison-Blanche
北海道	Hokkaidō
科科斯（基林）群島	Îles Cocos
胡志明	Hô Chi Minh
蘇軾	Su Shi
明尼阿波利斯	Minneapolis
集	Ensemble
順化市	Hué
閩東語	Mindong
閩南語	Minnan
離子	Ion
壯族	Zhuang (ethnie)
南斯拉夫	Yougoslavie
長毛象	Mammouth
四邊形	Quadrilatère
甘蔗	Canne à sucre
三船敏郎	Toshirō Mifune
文言	Chinois classique
線	Droite (mathématiques)
甲烷	Méthane
孫武	Sun Tzu
中央情報局	Central Intelligence Agency
語法學	Syntaxe
聯合國安全理事會	Conseil de sécurité des Nations unies
眼鏡	Lunettes
火柴	Allumette
多邊形	Polygone
市場	Marché
南海	Mer de Chine méridionale
朝鮮世宗	Sejong le Grand
俳句	Haïku
黃海	Mer Jaune
今上天皇	Akihito
橫濱市	Yokohama
普魯士	Prusse
前四年	4 av. J.-C.
柳州市	Liuzhou
皇帝	Empereur
索契	Sotchi
壓強	Pression
龍貓	Mon voisin Totoro
线粒体	Mitochondrie
號	Nom d'artiste
吠陀	Véda
橢圓	Ellipse (mathématiques)
杠杆	Levier (mécanique)
自由亞洲電臺	Radio Free Asia
蟹	Brachyura
前九十年	90 av. J.-C.
酸鹼度	Potentiel hydrogène
美國革命	Guerre d'indépendance des États-Unis
安徽省	Anhui
前九十一年	91 av. J.-C.
忠清北道	Chungcheong du Nord
忠清南道	Chungcheong du Sud
內蒙古自治區	Mongolie-Intérieure
金日成	Kim Il-sung
慶尚南道	Gyeongsang du Sud
慶尚北道	Gyeongsang du Nord
全羅北道	Jeolla du Nord
全羅南道	Jeolla du Sud
濟州特別自治道	Jeju-do
鬱陵島	Ulleungdo
巴別塔	Tour de Babel
蔚山廣域市	Ulsan
光州廣域市	Gwangju
一元二次方程	Équation du second degré
李斯特	Franz Liszt
美式足球	Football américain
前八十七年	87 av. J.-C.
哥德爾	Kurt Gödel
摩爾	Mole (unité)
華國鋒	Hua Guofeng
烷烴	Alcane
希爾伯特	David Hilbert
前九十五年	95 av. J.-C.
黃金分割	Nombre d'or
福建省	Fujian
班夫國家公園	Parc national de Banff
查士丁尼一世	Justinien
前七十四年	74 av. J.-C.
慶州市	Gyeongju
安東市	Andong
尚州市	Sangju
阿貝爾·塔斯曼	Abel Tasman
海南省	Haïnan
功	Travail d'une force
漢語拼音	Hanyu pinyin
莽原氣候	Savane
甘肅省	Gansu
蘇州市	Suzhou
溫州市	Wenzhou
無錫市	Wuxi
湖州市	Huzhou
紹興市	Shaoxing
崑山市	Kunshan
寧波市	Ningbo
紙鳶	Cerf-volant
前二〇一年	201 av. J.-C.
前二〇二年	202 av. J.-C.
哈爾濱市	Harbin
油	Huile
拓撲學	Topologie
文身	Tatouage
金融學	Finance
雲南省	Yunnan
多項式	Polynôme
山東省	Shandong
中南半島	Indochine
天擇	Sélection naturelle
地質年代	Échelle des temps géologiques
壟斷	Monopole
河南省	Henan
遼寧省	Liaoning
